work_id,concept_id,relation
W3096733662,sympatric_speciation,hasConcept
W3096733662,sympatry,hasConcept
W3096733662,biology,hasConcept
W3096733662,genetic_algorithm,hasConcept
W3096733662,gene_flow,hasConcept
W3096733662,evolutionary_biology,hasConcept
W3096733662,ecological_speciation,hasConcept
W3096733662,genetic_architecture,hasConcept
W3096733662,adaptation_(eye),hasConcept
W3096733662,cichlid,hasConcept
W3096733662,genome,hasConcept
W3096733662,reproductive_isolation,hasConcept
W3096733662,parapatric_speciation,hasConcept
W3096733662,ecology,hasConcept
W3096733662,genetics,hasConcept
W3096733662,quantitative_trait_locus,hasConcept
W3096733662,genetic_variation,hasConcept
W3096733662,gene,hasConcept
W3096733662,population,hasConcept
W3096733662,demography,hasConcept
W3096733662,neuroscience,hasConcept
W3096733662,fishery,hasConcept
W3096733662,fish_<actinopterygii>,hasConcept
W3096733662,sociology,hasConcept
W3150028644,biology,hasConcept
W3150028644,genome,hasConcept
W3150028644,phylum,hasConcept
W3150028644,evolutionary_biology,hasConcept
W3150028644,mitochondrial_dna,hasConcept
W3150028644,phylogenetics,hasConcept
W3150028644,non-mendelian_inheritance,hasConcept
W3150028644,inheritance_(genetic_algorithm),hasConcept
W3150028644,genomics,hasConcept
W3150028644,phylogenetic_tree,hasConcept
W3150028644,genetics,hasConcept
W3150028644,gene,hasConcept
W3157220246,rhinoceros,hasConcept
W3157220246,conservation_science,hasConcept
W3157220246,evolutionary_biology,hasConcept
W3157220246,biology,hasConcept
W3157220246,geography,hasConcept
W3157220246,genetics,hasConcept
W3157220246,computational_biology,hasConcept
W3157220246,zoology,hasConcept
W3157220246,ecology,hasConcept
W3157220246,biodiversity,hasConcept
W3007358977,biology,hasConcept
W3007358977,lineage_(genetic),hasConcept
W3007358977,evolutionary_biology,hasConcept
W3007358977,genome,hasConcept
W3007358977,genome_evolution,hasConcept
W3007358977,genetics,hasConcept
W3007358977,gene,hasConcept
W3094526233,ralstonia_solanacearum,hasConcept
W3094526233,biology,hasConcept
W3094526233,phylogenetic_tree,hasConcept
W3094526233,pathogen,hasConcept
W3094526233,genomics,hasConcept
W3094526233,bacterial_wilt,hasConcept
W3094526233,phylogenetics,hasConcept
W3094526233,evolutionary_biology,hasConcept
W3094526233,comparative_genomics,hasConcept
