work_id,domain_id,relation
W3096733662,human,inDomain
W3150028644,human,inDomain
W3157220246,human,inDomain
W3007358977,plant,inDomain
W3094526233,tool-method,inDomain
W4281383093,virus,inDomain
W3206764122,human,inDomain
W3113917743,plant,inDomain
W3010826188,virus,inDomain
W3014405512,human,inDomain
W4306411852,human,inDomain
W2999294700,microbiome,inDomain
W3035786310,virus,inDomain
W3006426838,other,inDomain
W3005383663,tool-method,inDomain
W3004584205,cancer,inDomain
W4319068304,human,inDomain
W3039975896,other,inDomain
W3147222942,virus,inDomain
W4387823059,human,inDomain
W3035842044,other,inDomain
W3087081867,other,inDomain
W3152442338,microbiome,inDomain
W4385945347,human,inDomain
W4210886322,plant,inDomain
W3041043209,human,inDomain
W3080458156,microbiome,inDomain
W3013655101,tool-method,inDomain
W4307336954,plant,inDomain
W3213067154,human,inDomain
W3135409471,virus,inDomain
W3163112933,human,inDomain
W4200602261,human,inDomain
W3039323082,human,inDomain
W3157163834,human,inDomain
W3182097799,human,inDomain
W3134064557,human,inDomain
W3009980214,human,inDomain
W3033913804,microbiome,inDomain
W3015444032,virus,inDomain
W4367173724,tool-method,inDomain
W3111726075,tool-method,inDomain
W3008570337,human,inDomain
W3011141248,human,inDomain
W4297888171,other,inDomain
W3033825041,microbiome,inDomain
W4312093588,other,inDomain
W3163053647,plant,inDomain
W3109790889,human,inDomain
W3210280275,other,inDomain
W3042698870,other,inDomain
W3029105628,virus,inDomain
W3097658527,tool-method,inDomain
W4220762623,other,inDomain
W3044927940,human,inDomain
W3086997270,other,inDomain
W3019171991,human,inDomain
W3010528608,microbiome,inDomain
W3125528398,human,inDomain
W3119409956,other,inDomain
W3007669493,other,inDomain
W3004860286,tool-method,inDomain
W4295078843,plant,inDomain
W3139353203,human,inDomain
W4378977815,human,inDomain
W3174638824,other,inDomain
W3047720445,microbiome,inDomain
W3128734195,plant,inDomain
W3021936614,tool-method,inDomain
W3015749488,tool-method,inDomain
W4229040376,human,inDomain
W3027489835,tool-method,inDomain
W3084471312,virus,inDomain
W4388772500,microbiome,inDomain
W4399121795,human,inDomain
W3042071345,human,inDomain
W3173519049,other,inDomain
W4295749382,human,inDomain
W4224078476,virus,inDomain
W3195084458,other,inDomain
W4310191493,tool-method,inDomain
W3092093148,human,inDomain
W4297996490,plant,inDomain
W3082138732,plant,inDomain
W3154626741,plant,inDomain
W3125813619,human,inDomain
W3111336046,virus,inDomain
W3200103613,microbiome,inDomain
W3034734463,other,inDomain
W3145217038,other,inDomain
W3128457606,human,inDomain
W3096084589,virus,inDomain
W3016709954,other,inDomain
W3099150310,plant,inDomain
W3014059824,human,inDomain
W4367173653,human,inDomain
W3035336855,human,inDomain
W2997889425,human,inDomain
W3002583775,plant,inDomain
W3041243944,plant,inDomain
W3014884007,microbiome,inDomain
W3194717314,human,inDomain
