work_id,tier_id,relation
W3096733662,tier1,hasTier
W3150028644,tier1,hasTier
W3157220246,tier2,hasTier
W3007358977,tier1,hasTier
W3094526233,tier2,hasTier
W4281383093,tier2,hasTier
W3206764122,tier1,hasTier
W3113917743,tier2,hasTier
W3010826188,tier1,hasTier
W3014405512,tier1,hasTier
W4306411852,tier1,hasTier
W2999294700,tier2,hasTier
W3035786310,tier2,hasTier
W3006426838,tier2,hasTier
W3005383663,tier1,hasTier
W3004584205,tier2,hasTier
W4319068304,tier1,hasTier
W3039975896,tier1,hasTier
W3147222942,tier1,hasTier
W4387823059,tier2,hasTier
W3035842044,tier2,hasTier
W3087081867,tier1,hasTier
W3152442338,tier2,hasTier
W4385945347,tier2,hasTier
W4210886322,tier2,hasTier
W3041043209,tier2,hasTier
W3080458156,tier2,hasTier
W3013655101,tier1,hasTier
W4307336954,tier1,hasTier
W3213067154,tier1,hasTier
W3135409471,tier1,hasTier
W3163112933,tier1,hasTier
W4200602261,tier2,hasTier
W3039323082,tier1,hasTier
W3157163834,tier1,hasTier
W3182097799,tier2,hasTier
W3134064557,tier2,hasTier
W3009980214,tier1,hasTier
W3033913804,tier2,hasTier
W3015444032,tier1,hasTier
W4367173724,tier1,hasTier
W3111726075,tier2,hasTier
W3008570337,tier1,hasTier
W3011141248,tier1,hasTier
W4297888171,tier2,hasTier
W3033825041,tier1,hasTier
W4312093588,tier2,hasTier
W3163053647,tier2,hasTier
W3109790889,tier2,hasTier
W3210280275,tier1,hasTier
W3042698870,tier2,hasTier
W3029105628,tier1,hasTier
W3097658527,tier1,hasTier
W4220762623,tier1,hasTier
W3044927940,tier1,hasTier
W3086997270,tier1,hasTier
W3019171991,tier1,hasTier
W3010528608,tier2,hasTier
W3125528398,tier1,hasTier
W3119409956,tier2,hasTier
W3007669493,tier1,hasTier
W3004860286,tier2,hasTier
W4295078843,tier2,hasTier
W3139353203,tier1,hasTier
W4378977815,tier1,hasTier
W3174638824,tier1,hasTier
W3047720445,tier1,hasTier
W3128734195,tier1,hasTier
W3021936614,tier1,hasTier
W3015749488,tier1,hasTier
W4229040376,tier2,hasTier
W3027489835,tier1,hasTier
W3084471312,tier1,hasTier
W4388772500,tier2,hasTier
W4399121795,tier2,hasTier
W3042071345,tier2,hasTier
W3173519049,tier2,hasTier
W4295749382,tier2,hasTier
W4224078476,tier1,hasTier
W3195084458,tier2,hasTier
W4310191493,tier1,hasTier
W3092093148,tier2,hasTier
W4297996490,tier1,hasTier
W3082138732,tier2,hasTier
W3154626741,tier2,hasTier
W3125813619,tier2,hasTier
W3111336046,tier1,hasTier
W3200103613,tier1,hasTier
W3034734463,tier2,hasTier
W3145217038,tier2,hasTier
W3128457606,tier1,hasTier
W3096084589,tier2,hasTier
W3016709954,tier1,hasTier
W3099150310,tier1,hasTier
W3014059824,tier2,hasTier
W4367173653,tier2,hasTier
W3035336855,tier2,hasTier
W2997889425,tier1,hasTier
W3002583775,tier2,hasTier
W3041243944,tier1,hasTier
W3014884007,tier2,hasTier
W3194717314,tier1,hasTier
W4390705788,tier2,hasTier
W4210660522,tier1,hasTier
W3098182612,tier2,hasTier
W3088464242,tier1,hasTier
W4205408709,tier2,hasTier
W3047721483,tier2,hasTier
W3130788486,tier2,hasTier
W3134169387,tier1,hasTier
W4294666709,tier1,hasTier
W4224943843,tier2,hasTier
W3185309958,tier1,hasTier
W3131947824,tier2,hasTier
W4309233014,tier2,hasTier
W3031702689,tier2,hasTier
W3025295657,tier1,hasTier
W3108785720,tier2,hasTier
W3098683386,tier1,hasTier
W3158042772,tier2,hasTier
W3006857885,tier1,hasTier
W3067773676,tier2,hasTier
W2964962118,tier1,hasTier
W3124071923,tier2,hasTier
W3149310107,tier2,hasTier
W3048434366,tier1,hasTier
W3026316627,tier1,hasTier
W3007157408,tier2,hasTier
W3158735354,tier1,hasTier
W3018187768,tier2,hasTier
W3006759334,tier2,hasTier
W3041011883,tier2,hasTier
W4385278816,tier2,hasTier
W4285093403,tier2,hasTier
W3034747402,tier2,hasTier
W3001749974,tier2,hasTier
W4293051598,tier2,hasTier
W3004122056,tier2,hasTier
W4405670661,tier2,hasTier
W3009260711,tier2,hasTier
W3014884580,tier2,hasTier
W4287730743,tier2,hasTier
W3040417581,tier2,hasTier
W4319812547,tier2,hasTier
W4296032784,tier2,hasTier
W3010767342,tier2,hasTier
W4309766482,tier1,hasTier
W3120875795,tier2,hasTier
W3080711553,tier2,hasTier
W3120422619,tier2,hasTier
W4386316880,tier1,hasTier
W3075891525,tier1,hasTier
W3015494257,tier2,hasTier
W3196034458,tier1,hasTier
W3146958471,tier1,hasTier
W3083864964,tier1,hasTier
W3035367124,tier2,hasTier
W3213410277,tier1,hasTier
W3007052684,tier1,hasTier
W3160855197,tier1,hasTier
W3027192977,tier2,hasTier
W3192863794,tier2,hasTier
W4205901551,tier2,hasTier
W4381661616,tier2,hasTier
W3021325701,tier1,hasTier
W4310071929,tier1,hasTier
W3113197882,tier1,hasTier
W3048671222,tier2,hasTier
W3187374982,tier1,hasTier
W2982414522,tier2,hasTier
W4206193472,tier1,hasTier
W3081335591,tier1,hasTier
W3002838797,tier2,hasTier
W3136772542,tier2,hasTier
W3096491883,tier1,hasTier
W4318617997,tier2,hasTier
W4220723349,tier1,hasTier
W3185283445,tier2,hasTier
W3035031813,tier1,hasTier
W3019976500,tier2,hasTier
W3131376036,tier2,hasTier
W3004715820,tier2,hasTier
W3125341911,tier2,hasTier
W3015079544,tier2,hasTier
W4389626322,tier1,hasTier
