work_id,title,year,evolbio_score
W3096733662,Contrasting signatures of genomic divergence during sympatric speciation,2020,0.6944801807403564
W3150028644,Molluscan mitochondrial genomes break the rules,2021,0.6584994196891785
W3157220246,Genomic insights into the conservation status of the world’s last remaining Sumatran rhinoceros populations,2021,0.5192385315895081
W3007358977,The persimmon genome reveals clues to the evolution of a lineage-specific sex determination system in plants,2020,0.6881115436553955
W3094526233,Taxonomy and Phylogenetic Research on Ralstonia solanacearum Species Complex: A Complex Pathogen with Extraordinary Economic Consequences,2020,0.5082754492759705
W4281383093,Analysis of 6.4 million SARS-CoV-2 genomes identifies mutations associated with fitness,2022,0.514262855052948
W3206764122,Diversity and ecology of protists revealed by metabarcoding,2021,0.5684850811958313
W3113917743,Strongly deleterious mutations are a primary determinant of extinction risk due to inbreeding depression,2020,0.47533559799194336
W3010826188,Horizontal transfer and evolution of transposable elements in vertebrates,2020,0.6937590837478638
W3014405512,Multiple chromosomal inversions contribute to adaptive divergence of a dune sunflower ecotype,2020,0.5693840980529785
W4306411852,Chromosomal inversion polymorphisms shape the genomic landscape of deer mice,2022,0.5507550835609436
W2999294700,Comparative Analyses of Vertebrate Gut Microbiomes Reveal Convergence between Birds and Bats,2020,0.4885924458503723
W3035786310,Rampant C→U Hypermutation in the Genomes of SARS-CoV-2 and Other Coronaviruses: Causes and Consequences for Their Short- and Long-Term Evolutionary Trajectories,2020,0.45369839668273926
W3006426838,Reconstructing the evolutionary history of nitrogenases: Evidence for ancestral molybdenum‐cofactor utilization,2020,0.47173941135406494
W3005383663,The Multispecies Coalescent Model Outperforms Concatenation Across Diverse Phylogenomic Data Sets,2020,0.5568856000900269
W3004584205,Patterns of somatic structural variation in human cancer genomes,2020,0.5196115374565125
W4319068304,Human-specific genetics: new tools to explore the molecular and cellular basis of human evolution,2023,0.6635963320732117
W3039975896,Undinarchaeota illuminate DPANN phylogeny and the impact of gene transfer on archaeal evolution,2020,0.6650072336196899
W3147222942,Temporal dynamics of SARS-CoV-2 mutation accumulation within and across infected hosts,2021,0.6065753698348999
W4387823059,Genomics for monitoring and understanding species responses to global climate change,2023,0.49990129470825195
W3035842044,Lineage dynamics of the endosymbiotic cell type in the soft coral Xenia,2020,0.45026591420173645
W3087081867,A Field Guide to Eukaryotic Transposable Elements,2020,0.6709056496620178
W3152442338,Extensive microbial diversity within the chicken gut microbiome revealed by metagenomics and culture,2021,0.45830631256103516
W4385945347,The specious art of single-cell genomics,2023,0.45357808470726013
W4210886322,"Plant GATA Factors: Their Biology, Phylogeny, and Phylogenomics",2022,0.5332013964653015
W3041043209,Towards the completion of speciation: the evolution of reproductive isolation beyond the first barriers,2020,0.4647960066795349
W3080458156,Host selection shapes crop microbiome assembly and network complexity,2020,0.524589478969574
W3013655101,Ghost Introgression: Spooky Gene Flow in the Distant Past,2020,0.6704635620117188
W4307336954,Polyploidy: its consequences and enabling role in plant diversification and evolution,2022,0.5643163323402405
W3213067154,Origins and evolution of extreme life span in Pacific Ocean rockfishes,2021,0.6037196516990662
W3135409471,"Genomic Characterization of a Novel SARS-CoV-2 Lineage from Rio de Janeiro, Brazil",2021,0.5590587258338928
W3163112933,Incorporating the speciation process into species delimitation,2021,0.5873133540153503
W4200602261,"Whole-Genome Resequencing of Worldwide Wild and Domestic Sheep Elucidates Genetic Diversity, Introgression, and Agronomically Important Loci",2021,0.4981696605682373
W3039323082,Genomic analysis of the domestication and post-Spanish conquest evolution of the llama and alpaca,2020,0.6362720727920532
W3157163834,Genetic impacts on DNA methylation: research findings and future perspectives,2021,0.5802635550498962
W3182097799,The crucial role of genome-wide genetic variation in conservation,2021,0.5364921689033508
W3134064557,Deleterious mutation accumulation and the long-term fate of chromosomal inversions,2021,0.5156522989273071
W3009980214,What is ancestry?,2020,0.5658824443817139
W3033913804,Earth microbial co-occurrence network reveals interconnection pattern across microbiomes,2020,0.47196850180625916
W3015444032,Phylogenetic network analysis of SARS-CoV-2 genomes,2020,0.6517869830131531
W4367173724,A genomic timescale for placental mammal evolution,2023,0.672502875328064
W3111726075,Identification and Characterization of 33 Bacillus cereus sensu lato Isolates from Agricultural Fields from Eleven Widely Distributed Countries by Whole Genome Sequencing,2020,0.46487119793891907
W3008570337,Understanding the human antibody repertoire,2020,0.5719311833381653
W3011141248,Comparing the Performance of Microsatellites and RADseq in Population Genetic Studies: Analysis of Data for Pike (Esox lucius) and a Synthesis of Previous Studies,2020,0.554069459438324
W4297888171,EukProt: A database of genome-scale predicted proteins across the diversity of eukaryotes,2022,0.49175336956977844
W3033825041,Analysis of 1321 Eubacterium rectale genomes from metagenomes uncovers complex phylogeographic population structure and subspecies functional adaptations,2020,0.6454872488975525
W4312093588,The molecular evolution of spermatogenesis across mammals,2022,0.5121981501579285
W3163053647,Phylogenomic Subsampling and the Search for Phylogenetically Reliable Loci,2021,0.4782254099845886
W3109790889,Selection enhances protein evolvability by increasing mutational robustness and foldability,2020,0.523228108882904
W3210280275,"Microchromosomes are building blocks of bird, reptile, and mammal chromosomes",2021,0.5603015422821045
W3042698870,Assembly of the threespine stickleback Y chromosome reveals convergent signatures of sex chromosome evolution,2020,0.4657014012336731
W3029105628,Deep Roots and Splendid Boughs of the Global Plant Virome,2020,0.5750690698623657
W3097658527,"Many, but not all, lineage-specific genes can be explained by homology detection failure",2020,0.563378632068634
W4220762623,Taming transposable elements in vertebrates: from epigenetic silencing to domestication,2022,0.5708542466163635
W3044927940,Khoe-San Genomes Reveal Unique Variation and Confirm the Deepest Population Divergence in Homo sapiens,2020,0.6842969655990601
