id,title,year,tier,software_detected,method_candidates_sw,method_candidates_kw,datatype_candidates,taxon_candidates,geoscope_candidates,environment_candidates,contribution_candidates,ResearchTask_labels,Method_labels,Software_labels,Taxon_labels,DataType_labels,GeoScope_labels,EnvironmentType_labels,ContributionType_labels
https://openalex.org/W3096733662,Contrasting signatures of genomic divergence during sympatric speciation,2020,tier1,,,Maximum Likelihood,Whole Genome Sequence,Teleost Fish,Multiple Locations,Tropical,Empirical Study|Resource / Dataset Paper,Species Delimitation|Gene Flow / Introgression Analysis|Phylogeny Inference,Maximum Likelihood,,Teleost Fish,Whole Genome Sequence,Multiple Locations,Tropical,Empirical Study|Resource / Dataset Paper
https://openalex.org/W3150028644,Molluscan mitochondrial genomes break the rules,2021,tier1,,,,mtDNA,Invertebrates|Vertebrates,Not Specified|Single Location,Not Specified,Empirical Study|Method / Model Paper|Resource / Dataset Paper|Review / Survey,Phylogeny Inference|Evolutionary Theory / Conceptual Analysis,,,Invertebrates|Vertebrates,mtDNA,Not Specified,Not Specified,Review / Survey|Empirical Study
https://openalex.org/W3157220246,Genomic insights into the conservation status of the world’s last remaining Sumatran rhinoceros populations,2021,tier2,,,,,,Not Specified|Single Location,Not Specified,Empirical Study,Demographic History Inference|Gene Flow / Introgression Analysis,,,,,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3007358977,The persimmon genome reveals clues to the evolution of a lineage-specific sex determination system in plants,2020,tier1,,,,Whole Genome Sequence,Angiosperms|Plants,Not Specified|Single Location,Not Specified,Empirical Study,Phylogeny Inference|Gene Flow / Introgression Analysis,,,Plants|Angiosperms,Whole Genome Sequence,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3094526233,Taxonomy and Phylogenetic Research on Ralstonia solanacearum Species Complex: A Complex Pathogen with Extraordinary Economic Consequences,2020,tier2,,,,Occurrence / Distribution Records,,Not Specified|Single Location,Marine,Empirical Study|Review / Survey,Phylogeny Inference,,,,Occurrence / Distribution Records,Not Specified,Not Specified,Review / Survey|Empirical Study
https://openalex.org/W4281383093,Analysis of 6.4 million SARS-CoV-2 genomes identifies mutations associated with fitness,2022,tier2,,,Bayesian Inference,,,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper,Selection / Positive Selection Detection|Demographic History Inference,Bayesian Inference,,,,Multiple Locations,Not Specified,Method / Model Paper|Empirical Study
https://openalex.org/W3206764122,Diversity and ecology of protists revealed by metabarcoding,2021,tier1,,,,Ecological / Environmental Variables,,Not Specified|Single Location,Marine,Empirical Study|Method / Model Paper|Review / Survey,Eco-evolutionary Dynamics|Biogeography,,,,Ecological / Environmental Variables|Ecological / Environmental Variables,Multiple Locations|Not Specified,Marine,Review / Survey|Empirical Study|Method / Model Paper
https://openalex.org/W3113917743,Strongly deleterious mutations are a primary determinant of extinction risk due to inbreeding depression,2020,tier2,,,Simulation-based Inference,,Plants,Not Specified|Single Location,Fragmented Habitat|Terrestrial,Empirical Study|Method / Model Paper,Demographic History Inference|Adaptation Inference,Simulation-based Inference,,Plants,,Not Specified|Single Location,Fragmented Habitat|Terrestrial,Empirical Study|Method / Model Paper
https://openalex.org/W3010826188,Horizontal transfer and evolution of transposable elements in vertebrates,2020,tier1,,,dN/dS Analysis,,Aves|Mammalia|Teleost Fish|Vertebrates,Not Specified|Single Location,Not Specified,Empirical Study,Phylogeny Inference|Gene Flow / Introgression Analysis|Selection / Positive Selection Detection,dN/dS Analysis,,Vertebrates|Teleost Fish|Aves|Mammalia,,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3014405512,Multiple chromosomal inversions contribute to adaptive divergence of a dune sunflower ecotype,2020,tier1,STRUCTURE,,,Behavioral Data|Ecological / Environmental Variables|SNP Genotype Data,,Not Specified|Single Location,Island,Empirical Study|Method / Model Paper,Adaptation Inference|Species Delimitation|Gene Flow / Introgression Analysis,,STRUCTURE,,SNP Genotype Data|Ecological / Environmental Variables,Single Location,Island,Empirical Study|Method / Model Paper
